BUSINESS_ID,REVIEW_DATE,USER_ID,REVIEW_STARS,REVIEW_TEXT,SENTIMENT
2cRTgUdOx7PNOQ6C0nnnug,2014-12-25,VQdIO6g3Fxs5jX898SsX7Q,1,"When I went in, all the tables were dirty, there was dirt or something questionable all over the floor, there were fruit fly/nat like things IN the donut shelf. All over the jelly filled donuts. Gross. Got two bagels, one blueberry, one plain and both tasted like onion. As if they used the same oil or something. Not good. 


Wouldn't come back.",Negative
J3nx8u-uRRejlfyP9KjFhQ,2012-06-06,8wQIoFapkegkC5fcVYg_Iw,1,"I can't believe I forgot to review this place. Oh yeah, that's right. I wanted to forget I had the horrible experience of coming here all together. Too bad that didn't work out.

I came here last summer as a favor to a friend (one of his friends was guest bartending). First we looked for parking; not too difficult being as no one else wants to go here. We decide to pull into the adjoining lot rather than street park and some guy runs across the street, insists he is the parking lot attendant, and that there is a fee to park (although there is no visible sign). I tell the guy that he must be crazy and how do we know he even works there. Long story short, my friend ends up giving him the money (he's afraid for his car's safety) and we meet up with his other friends and head in. 

It takes more than 10 minutes for them to check us in for happy hour although we're literally the only people in line (and there's like 5 of us). I think I stayed for about 30 minutes to help out before I begged my friend to get us the heck out of there.

I went for the cheap Happy Hour and left scarred for life. Never again.",Positive
MeMioeVFFYtFltwlkC_-pg,2021-04-25,a7MBUL518Kvbm9LXq5JC_g,1,"Knowing pizza like I do, I cannot give this pizza a passing grade above 5.0
Birxx Rustica: 3.7/10 
Not worth going back. Big fail. Sorry.",Neutral
ckWyIRxlaQDvyNR6pqdZ_Q,2020-02-24,xRprMzwOitM4QZsQsuo_Mg,1,absolutely not..... the seafood is over cooked and over seasoned. The atmosphere is not pleasant. You walk in and you already know you are in the wrong place from loud music which is uncensored.  The Male staff roaming with their pants sagging. If you want good seafood this isn't it. If I could leave negative stars I would.,Negative
uPemnAOJJyoeHmhD8g_fbw,2019-12-28,7d-V3Z9QFTpAtCQs5tjQPw,4,"I was planning on running some errands in the area, so decided to stop in for breakfast. It was 9 am on a Saturday morning and the restaurant was about half full, so we were seated promptly. Right upon being seated the waitress greeted us and began reading the daily specials, which are also written on a large board in the back of the restaurant. 

They menu is quite expansive and they offer breakfast, lunch, and dinner options all day long. They also offer mimosas and bloody mary's for just $2.99, what a deal!

I ordered the crab cake eggs benedict with hash browns and my friend ordered the spicy honey chicken biscuit and a side of hash browns with cheese. Both entrees came out quick and piping hot. The eggs benedict were good overall, but the crab cakes had a little bit too much of a fishy taste for my liking. I wish I would've gotten the regular eggs benedict instead. But I did like the hash browns, as they had a nice crisp. My friend really enjoyed her meal and we both left nice and full!

Lastly, I want to note that the service was superb. Our server was extremely friendly and we were checked on multiple times.

Overall, 4 stars for good food at a good price and excellent service!",Positive
YK3Kt4It6ACDYC0yrDQdCA,2020-07-20,8AatsWCP9rka3CRuMknCKQ,4,"I felt really lucky to have Retrograde as my local coffee shop when I lived a couple blocks away, and it's a treat to stop in when I'm back in the neighborhood. There is quite a bit of indoor seating as well as seating on the patio outside, and (at least pre-pandemic) the vibe was energetic-but-quiet, making it a good place to get some reading or work done. 

I've liked the various drip coffee and espresso-based drinks I've had, and service is always friendly without being overbearing. The few pastries and bagels I've tried have also been tasty.",Positive
C809UuprygJyEgJw4wr2Pg,2020-02-23,-QI7sBt1sDsJtoziiQ7_-w,1,I ordered a plain pizza To pick up and the online tracker said they've been quality checking the pizza for 40 minutes so I thought maybe it wasn't correct and went inside to check and they said they messed up my order so now it's been an hour and I am STILL waiting on my plain pizza. So disappointed,Negative
y4PxSBhFPrJ2TGaaCLh1RQ,2021-03-06,EyDYjcQK8tPfMJDTuIvIXw,1,"Chose this because we like to try non tourist spots.  Yelp  has never let us down until this one.  We arrived and it was not busy at all, got stopped by a gentlemen in the parking lot asking for money, did not feel safe, tables were dirty with food, stickiness and goo . . . Food did not have flavor, chicken was dry, by far the worst Mexican I've had.  Many many came in without masks and were not asked to put one on or leave.  Will lot go back or recommend.",Negative
MI7cUsPiQGYQRuQmn3MbtA,2020-05-18,e7LWP22ytZk7F3L2miuiUQ,5,"Outstanding food! Burger was fantastic. The wife had the ""staff meal"" that today was seafood that she really enjoyed. Brussels sprouts and fried green
Tomato's were the best we have had. We wished we were not from GA or this would become our new favorite place to go!  We hope you treat your tastebuds here soon!",Positive
qIDYmi_7w_D_0Dqfwen1xA,2016-01-05,8Jzj9ZK9iZDqqFBRxzLlEQ,4,"After recommendations from fellow yelpers, I gave this place a try. We got the whole chicken with fried yuca, tostones, sweet plantains, and green beans to go. They were all delicious. The chicken was falling off the bone and incredibly moist. It had great flavor, and I am not talking about just salt. The tostones were big crisp, the yuca fries were nice and crisp, the sweet plantains were perfectly cooked, and the green beans still had a nice bite to them.

Why 4 instead of 5 stars? I find their side portions a bit skimpy. Either way, great recommendation. I will be back.",Positive
_iDDqhphfpvrDxKjFa9Ofw,2021-03-23,McgZ1E0jmsw9qf6iRjMu0g,4,"Came here to do a bit of studying...Extremely busy & noisy, so if you like to study quietly this wouldnt work for you. Gratefully, I can tune out anything when Im reading. LOL. I ordered a hot peppermint tea which was refreshing & flavorful! I also had a warmed spinach quishe which was ok. Not bad, but also not anything to be overly excited about. 

One thing I did notice & appreciated most was the customer service. Everyone was extremely kind & in good spirits!",Positive
8HDj3edet7BSM3iI8xdQxQ,2018-11-01,eVaVSAE3qkEjD59eDaLpIg,1,"My roommate and I couldn't wait to move out. 


The leasing office team is friendly and all but overall just incompetent and unambitious. 

We had numerous problems with the management team. I would contact the leasing office with questions every once and awhile. Almost never would hear back from them. I would call multiple times to no avail leaving messages for essentially no one. When I confronted the office about this issue they just claimed my messages must have just slipped through the cracks. Every single time? Sure. 

Parking here is a nightmare. Parking is first come first served. There are maybe 1 or 2 spots for each apartment. It is safe to say the amount of parking spots needed is very inadequate. If you want guests over good luck finding parking. Most of the time I would have to park on the opposite end of the complex and walk all the way to my building. Not ideal for unloading your car. 

Back in July our AC wasn't working properly. I suspected something was up as it would constantly run and not actually cool down the apartment. It wasn't until the 3rd maintenance call that they finally decided to replace the HVAC. They gave us a portable AC unit until the new one could be installed. It took almost a month before they actually installed the new unit. Originally the earliest their contractor could do was roughly 2 weeks out. Those 2 weeks or so dragged by. I got a call saying they will install it the next day. No one showed. They call me that evening to apologize as an emergency came up and that they would be coming the following day. Also no one came. I called and left a very angry message. To my surprise they made a lowly maintenance worker install it himself the next day without the contractor. Meanwhile, I was oblivious as (of course) they never returned my call from the night before. 

Other times I would file maintenance requests and would specify certain times. They were horrible about showing up. One time I had to call THREE times just to force them to show up. Wasted hours of my time sitting around waiting. 

The apartments look nice but are ultimately tawdry. We had multiple problems. Pipes leaking that had to be fixed numerous times. Freezer would leak water inside the freezer itself so we always had ice everywhere. Rain water would leak into our apartment upstairs and would soak through into the room below. The list goes on. 

As soon as my roommate and I found a new place to live we submitted our written notice to vacate when our lease ends. A week went by and I had not heard anything from the office. I decided to pop by to make sure they were processing the notice. Not to my surprise, they lost our notice. We had to submit a new one. 

With all that being said there is incessant construction noise directly bordering the complex which will more or less continue for the next few years. It starts very early and goes until late. 

Do yourself a favor and find a better place.",Negative
5d6Re2uKakZvY-QPJgTvUQ,2021-04-25,Te1YqioGiKTPODjwmjl3RA,5,"Amazing!  Please go to see Ms Cathy and her wonderful staff! We didn't know there was live music but thoroughly enjoyed the musician playing jazz while we are. Not too loud so we could still have a conversation. The food is phenomenal and so is the atmosphere!  I had the chicken and waffles, which were exactly what I wanted and exceeded expectations. My friend had 'da bomb' with one meat and one veggie and both were so good. A perfect combination of fillings wrapped in a biscuit.  This will definitely be a staple when we come back to Nashville.",Positive
AQnHRUKqYb8ovUTmLKyJAg,2021-05-22,4wXJ96h6W9MYYd0ZWEk3hQ,3,"Slow service, food was cold.  Waited at least  10 minutes for our drinks.   Had to search for our waitress to ask for our food to be warmed .",Neutral
i9QWaDBCX3DRISUt94GDQA,2020-01-26,ITNMGKJDZpPISilrNsgn6w,5,"This shop is about 50 minutes from home but definitely worth it.  I got the creamsicle fat bomb, some cookies, cupcakes, the peanut butter chocolate brownie and the lemon bar.  The creamsicle fat bomb was good, the peanut butter chocolate brownie was freakin amazing, and the caramel cupcake was delicious, better then most cupcakes that aren't even keto friendly.  If you are looking for Keto desserts this place is a must go to.  They are pricey but comparable to any speciality dessert you would be in a bakery or wegmans.  And the service was great!  Enjoy!",Positive
nmG12AwIEpIzx1Rd-5Nf8Q,2019-06-20,lnpesrPve12Tnwn_VNrqVg,5,"I started with Bay over a year ago when I had to move out of state. I decided to rent my home in  Manayunk because I had just purchased it about a year prior and want to build up some equity in it before selling. Every person I have interacted with has been very quick to respond and are very knowledgeable. I cannot speak more highly of Luca, Bob, and the rest of the team!",Neutral
mUhdrtcDU9ane-kaxMHlWA,2020-02-09,zfWE-AfAk_qKavifQxFg-g,5,"Our bartender, Katie provided the best bar and food service imaginable ... all with the brightest smile and  most attentive attitude. We watched her ensure that all her customers felt special, and her team mates were kept uplifted, as well. She seems very well trained  in customer service at the most professional level. We'd steal her away for our business if we  could!",Positive
5DJ2sDvM_XRndlB24DnxYw,2019-03-20,AdEkfUBz8U1dHVuCuITYCA,5,"Such a nice restaurant and the customer service is beyond amazing. We had a group of 11 girls and for such large group they serve family style. Well, one of the girls was vegan and they made sure her food was prepared accordingly. On top of that, the food was amazingly delicious.",Positive
VPdHtp4RZ55e9OAYNylcPw,2018-03-19,botAtTE9C70EXFof3IJLmQ,5,"I was on vacation in Florida and went out for breakfast to a café located near this quilt shop. I couldn't resist going in to check it out! What a delightful, bright , inspiring quilt shop! Their selection of fabrics is second to none! One gorgeous fabric after another. I fell in love with the sample of the Statue of Liberty quilt that was on display and HAD to buy the fabric for such an exquisite creation! I am not a quilter, but gave the fabric and the tool to chenille the quilt to a fellow sewer who DOES quilt! She was extremely appreciative. Kudos to the buyer of this incredible store. You have AWESOME taste in fabrics!",Positive
B5Mab5cVcYBT0PPHxN-QaQ,2020-11-09,ozAxgSw6pMDEJqpirGNSpQ,5,"We had a problem with a slide out on our class C Motorhome. We called around and Gordon the Service Manager at Frost RV was the only one who would even look at our issue before Thanksgiving.  We went in and after an evaluation we set up a date a couple weeks out to bring it in.   The issue was covered by our extended warranty and Gordon took care of everything from start to finish.  Gordon kept us informed throughout the process.
We could not be more pleased with the service and customer care provided by Frost RV and in particular their service manager Gordon and his staff.
Based on our experience, we would recommend Frost RV for your Motorhome needs without reservation.",Neutral
gndi4-wzu66Mtp4E0zHt7g,2021-04-26,vwl8hv6jVuPcKbVLwlMRNw,5,"This is without a doubt one of my favorite local bars. They have amazing and very friendly service, great beer selection and delicious food. They are their own brewery and have a rotating selection of beers. The taproom next door is a great addition. Can't recommend it more!",Positive
F-NlTcl5BHb07E7TFb2TJw,2019-05-26,shT-ypnfo3GuP1WYXsINaw,3,"Good food, not amazing, but satisfying. Limited salsas (looks like there were 3, one was completely empty, the others were very low, and they weren't busy).",Negative
